state,participation,total,year,exam
Alabama,0.05,1165,2017,sat
Alaska,0.38,1080,2017,sat
Arizona,0.3,1116,2017,sat
Arkansas,0.03,1208,2017,sat
California,0.53,1055,2017,sat
Colorado,0.11,1201,2017,sat
Connecticut,1.0,1041,2017,sat
Delaware,1.0,996,2017,sat
District of Columbia,1.0,950,2017,sat
Florida,0.83,1017,2017,sat
Georgia,0.61,1050,2017,sat
Hawaii,0.55,1085,2017,sat
Idaho,0.93,1005,2017,sat
Illinois,0.09,1115,2017,sat
Indiana,0.63,1074,2017,sat
Iowa,0.02,1275,2017,sat
Kansas,0.04,1260,2017,sat
Kentucky,0.04,1247,2017,sat
Louisiana,0.04,1198,2017,sat
Maine,0.95,1012,2017,sat
Maryland,0.69,1060,2017,sat
Massachusetts,0.76,1107,2017,sat
Michigan,1.0,1005,2017,sat
Minnesota,0.03,1295,2017,sat
Mississippi,0.02,1242,2017,sat
Missouri,0.03,1271,2017,sat
Montana,0.1,1196,2017,sat
Nebraska,0.03,1253,2017,sat
Nevada,0.26,1116,2017,sat
New Hampshire,0.96,1052,2017,sat
New Jersey,0.7,1056,2017,sat
New Mexico,0.11,1138,2017,sat
New York,0.67,1052,2017,sat
North Carolina,0.49,1081,2017,sat
North Dakota,0.02,1256,2017,sat
Ohio,0.12,1149,2017,sat
Oklahoma,0.07,1047,2017,sat
Oregon,0.43,1108,2017,sat
Pennsylvania,0.65,1071,2017,sat
Rhode Island,0.71,1062,2017,sat
South Carolina,0.5,1064,2017,sat
South Dakota,0.03,1216,2017,sat
Tennessee,0.05,1228,2017,sat
Texas,0.62,1020,2017,sat
Utah,0.03,1238,2017,sat
Vermont,0.6,1114,2017,sat
Virginia,0.65,1102,2017,sat
Washington,0.64,1075,2017,sat
West Virginia,0.14,1086,2017,sat
Wisconsin,0.03,1291,2017,sat
Wyoming,0.03,1230,2017,sat
Alabama,0.06,1166,2018,sat
Alaska,0.43,1106,2018,sat
Arizona,0.29,1149,2018,sat
Arkansas,0.05,1169,2018,sat
California,0.6,1076,2018,sat
Colorado,1.0,1025,2018,sat
Connecticut,1.0,1053,2018,sat
Delaware,1.0,998,2018,sat
District of Columbia,0.92,977,2018,sat
Florida,0.56,1099,2018,sat
Georgia,0.7,1064,2018,sat
Hawaii,0.56,1010,2018,sat
Idaho,1.0,1001,2018,sat
Illinois,0.99,1019,2018,sat
Indiana,0.63,1074,2018,sat
Iowa,0.03,1265,2018,sat
Kansas,0.04,1265,2018,sat
Kentucky,0.04,1248,2018,sat
Louisiana,0.04,1210,2018,sat
Maine,0.99,1013,2018,sat
Maryland,0.76,1080,2018,sat
Massachusetts,0.8,1125,2018,sat
Michigan,1.0,1011,2018,sat
Minnesota,0.04,1298,2018,sat
Mississippi,0.03,1236,2018,sat
Missouri,0.04,1262,2018,sat
Montana,0.1,1198,2018,sat
Nebraska,0.03,1252,2018,sat
Nevada,0.23,1140,2018,sat
New Hampshire,0.96,1063,2018,sat
New Jersey,0.82,1094,2018,sat
New Mexico,0.16,1093,2018,sat
New York,0.79,1068,2018,sat
North Carolina,0.52,1098,2018,sat
North Dakota,0.02,1283,2018,sat
Ohio,0.18,1099,2018,sat
Oklahoma,0.08,1062,2018,sat
Oregon,0.48,1117,2018,sat
Pennsylvania,0.7,1086,2018,sat
Rhode Island,0.97,1018,2018,sat
South Carolina,0.55,1070,2018,sat
South Dakota,0.03,1240,2018,sat
Tennessee,0.06,1231,2018,sat
Texas,0.66,1032,2018,sat
Utah,0.04,1010,2018,sat
Vermont,0.64,1120,2018,sat
Virginia,0.68,1117,2018,sat
Washington,0.69,1081,2018,sat
West Virginia,0.28,999,2018,sat
Wisconsin,0.03,1294,2018,sat
Wyoming,0.03,1257,2018,sat
Alabama,0.07,1143,2019,sat
Alaska,0.41,1097,2019,sat
Arizona,0.31,1134,2019,sat
Arkansas,0.06,1141,2019,sat
California,0.63,1065,2019,sat
Colorado,1.0,1024,2019,sat
Connecticut,1.0,1046,2019,sat
Delaware,1.0,985,2019,sat
District of Columbia,0.94,975,2019,sat
Florida,1.0,999,2019,sat
Georgia,0.71,1058,2019,sat
Hawaii,0.54,1100,2019,sat
Idaho,1.0,993,2019,sat
